,event,cleandiscipline_new,itype,gendersquash,cleantarget_new,perpetrator_new,story_word_count
0,"Three different incidents in three different Canadian universities as I worked towards my doctorate in Englisht Language and Literature.  The first involved several approaches by a professor to join his ""groupies"" to share wine and literary discussion.  I believe one or more of my peers became his paramour and I was a distinct outsider for not joining in.  Their marks were quite high!
The second was more serious and involved being stalked by a professor in the department who made several attempts to get in to my apartment accompanied by compliments and then pleas to pursue a relationship and which was only stopped by threats of exposure by my fellow student and myself. Interestingly, while he was not one of my profs, his best friend gave me the lowest mark in the class (all my other marks were in the ""A"" range.)
The third incident may have cost me a position as an assistant professor when I  rejected the advances  of one of the professors on the hiring committee who had invited me into his office after the interview.   This included removing his hand from my knee.",Humanities,Multiple,Male,Graduate Student,Faculty,192
1,"About 13 yrs ago, I shared an office with a well-known, middle-aged professor, who occasionally taught in the department. It started with complaints about his marriage. And I was appalled by overtly sexist things he would say to female undergraduates during office hours, eg ""did your boyfriend help you with this?"" By Feb, he began to kiss the top of my head when exiting the office. Then, one day, he kissed my neck with an open mouth.

Many other grad students told me that they felt similarly harassed by him.", Social sciences,Elite Institution,Male,Graduate Student,Faculty,89
2,"When I was a first-year grad student, I was harassed anonymously by email by a postdoc in my lab group. He would make references to conversations we had earlier in the day so I knew it was him, but used a throwaway account so I had no proof. I was the only female member in my lab group and the youngest student at the time.",Formal sciences,Elite Institution,Male,Graduate Student,Graduate Student,65
3,"A renowned, tenured male faculty member who sits on a board I serve on in grad student capacity is aggressively huggy during greetings; it is nearly impossible to avoid. He gropes the sides of my breasts every time, rubs and lingers.  It is humiliating.  I know of corroborated incidences from six other women graduate students.",Natural sciences,Research Institute,Male,Graduate Student,Graduate Student,57
4,"As an undergrad, during a critique of my work, when I was 19. We were discussing a group of photographs I had made. Some were self portraits, NONE were sexual, or even provocative in nature, and there was zero nudity. If anything, they were an attempt to grapple with my own poor self image and ideas of my inner narrative expressed outwardly. Near the end of the critique the professor (who was a known lech) said of one of the self portraits ""and this one, it's like, it's like I can FEEL your vagina."" My classmates looked at me as I turned red and fell silent. It took a few days for the fucked-upness of what he'd said to sink in. This was in 1998 or so, the internet was not then what it is now. I couldn't tweet about it, there were no online sexual harassment forms to fill out. And I didn't feel I had the agency to share this or report it to anyone. I felt like it was one of those things you just had to put up with, just part of ""being a woman"" in the world. It wasn't my first lesson in dealing with creeps, but it was one of the only ones that existed within a specific power structure, like school, and where I experienced blatant abuse of privilege and power by a man. It still makes me angry and ashamed 20 years later. ",Humanities,Regional College,Male,Graduate Student,Faculty,242
5,"I used to volunteer in a virology lab in 2012. Postdoc was not helpful...belittled my work, told me to do something, then it would go wrong, then he would blame me for it when I followed his instructions to the letter. Postdoc would flirt heavily with two other girls in the lab. There was one in particular that would work at the same times as me, and sometimes I witnessed inappropriate behavior (he would touch her breast or hug her, she would protest and move away uncomfortably, he would laugh, she would giggle in awkwardness). I felt bad for the girl because she was an international student and clearly did not like the attention. One time it got to me and I asked her if she was ok after an ""encounter"" with the postdoc. She was nervous but did not want to cause a scene. I left after about 1.5 years. It was an utter waste of time, I learned nothing. When I initially joined I had of course been promised publications but never got on any, and when I mentioned how I was disappointed, of course the postdoc said that it was due to my poor quality of work. A few months later, I get a call from the Title 9 officer at my university saying that the Postdoc had been accused of sexual harassment by 3 other girls (besides the two that worked with me). She asked if I had been a victim. I said no, I had not, but I witnessed it happening to the international student and that I felt like my time at the lab had been poorly spent. Nothing happened to the guy, obviously. I got an insincere apology from the Title 9 officer and the university covered their behinds. That was it.",Natural sciences,Elite Institution,Male,Graduate Student,Graduate Student,299
6,"At a department gathering, I wore a skirt and the first thing a male prof said to me was that he “appreciated being able to see my legs.” One of the only other times I’ve worn a skirt he made a similar comment about in the hallway outside his office. There was also a sense among women graduate students that he was prone to inappropriate comments, a rumor that he had an affair with a grad student, and he would often talk about his marriage in inappropriate settings.  

A different professor in the same department told me to serve a visiting scholar coffee at our weekly coffee clatch. I organized the coffee with a male grad student who was also there, but of course he didn’t ask my friend to serve the other scholar. I declined. The same professor introduced my writing partner and I, who work on women and gender, at a small conference hosted by our department. The previous few papers had been about animals, and he said “So, speaking of animals, our next paper is [title of paper that included the word women].”",Humanities,Research Institute,Male,Graduate Student,Chair/Dean/Head,187
7,"Male professor made several comments over the course of the semester about women being intellectually inferior. On one of my assignments, his comment was, “Your writing is lively and engaging, too bad you don’t know how to think.” Near the end of the semester, I had to give a presentation for the class. The screen wasn’t lowered completely when I began to speak, so he interrupted me, and told me to fix it. I walked over toward him and had to bend over quite low in my nice presentation dress to yank the screen the rest of the way down. He said, “Oh, I wish I could get women to do that more often.” I didn’t see his gesture, but apparently he was swooning over my rear end in front of the (almost entirely male) rest of the class.",Humanities,Regional College,Male,Graduate Student,Graduate Student,139
8,"Sexism worst when pregnant. Most appalling was when male colleague whom I had just met hugged me extremely tightly IN A CLOSED ELEVATOR. I was frozen with fear. Also during my national association’s conference my very senior, male panel chair introduced me as “being busy on a new project - making babies” - the male audience twittered - this after I had put the panel together and explicitly sent detailed bio info. Also various comments from university colleagues during Dept. meetings about being “ready to pop” etc. Oh and this gem - former PhD supervisor called me a “producer of babies” and said mothers couldn’t be scholars. No harassment whatsoever at any time from students or female colleagues  - always senior male men. Remember: harassment exists to police the boundaries of the profession. Always be vigilant. ",Humanities,Multiple,Male,Faculty,Graduate Student,138
9,"When I was an Assistant Professor, my Department Head was frequently just too close physically.  Then he started winking at me during faculty meetings.  It was humiliating.  He would just put his hand on my shoulder in the hallway or something.  It was nothing that would be seen as extreme but it really effected me.",Natural sciences,Research Institute,Male,Faculty,Chair/Dean/Head,59
